sector,Avg_Multiplier,Median_Multiplier,Std_Dev,Sample_Size,Avg_Realized_Move
Communication Services,4.17,3.36,3.75,89,6.14
Health Care,4.11,2.95,3.96,228,6.31
Information Technology,3.8,2.78,3.76,264,7.07
Consumer Discretionary,3.68,2.65,3.48,183,6.11
Industrials,3.51,2.56,3.25,309,5.19
Consumer Staples,3.47,2.61,3.34,144,4.82
Materials,3.24,2.34,3.09,104,4.9
Real Estate,2.93,2.62,2.38,122,3.84
Financials,2.42,1.8,2.59,279,3.82
Utilities,2.35,1.36,3.14,123,2.76
Energy,2.02,1.63,1.67,84,3.84
