,earnings_multiplier,earnings_multiplier,realized_move,baseline_vol_1d
,mean,count,mean,mean
vix_regime,,,,
High,1.47,136,4.57,3.63
Low,3.69,53,5.82,1.67
Medium,3.45,1740,5.2,1.68
